time,Open,High,Low,Close,Volume
05.01.2018 08:30:00.000 GMT+0430,1.20744,1.20748,1.20702,1.20739,5054.4902
05.01.2018 09:30:00.000 GMT+0430,1.20739,1.20753,1.20695,1.20715,5554.5898
05.01.2018 10:30:00.000 GMT+0430,1.20714,1.20743,1.20566,1.20566,7200.96
05.01.2018 11:30:00.000 GMT+0430,1.20569,1.20670,1.20554,1.20574,9604.0098
05.01.2018 12:30:00.000 GMT+0430,1.20573,1.20623,1.20511,1.20527,11974.8701
05.01.2018 13:30:00.000 GMT+0430,1.20527,1.20575,1.20416,1.20458,9589.6699
05.01.2018 14:30:00.000 GMT+0430,1.20452,1.20540,1.20420,1.20498,9707.0596
05.01.2018 15:30:00.000 GMT+0430,1.20498,1.20551,1.20481,1.20527,7346.1099
05.01.2018 16:30:00.000 GMT+0430,1.20527,1.20540,1.20445,1.20476,8914.8604
05.01.2018 17:30:00.000 GMT+0430,1.20473,1.20829,1.20446,1.20518,17901.5391
05.01.2018 18:30:00.000 GMT+0430,1.20520,1.20557,1.20249,1.20291,16237.8301
05.01.2018 19:30:00.000 GMT+0430,1.20299,1.20442,1.20205,1.20362,15551.5
05.01.2018 20:30:00.000 GMT+0430,1.20361,1.20433,1.20300,1.20381,10905.7803
05.01.2018 21:30:00.000 GMT+0430,1.20382,1.20488,1.20362,1.20472,8198.2402
05.01.2018 22:30:00.000 GMT+0430,1.20472,1.20488,1.20434,1.20452,7658.71
05.01.2018 23:30:00.000 GMT+0430,1.20453,1.20508,1.20453,1.20473,6625.2002
06.01.2018 00:30:00.000 GMT+0430,1.20473,1.20494,1.20388,1.20417,5208.1001
06.01.2018 01:30:00.000 GMT+0430,1.20417,1.20422,1.20280,1.20304,4904.0601
06.01.2018 02:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 03:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 04:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 05:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 06:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 07:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 08:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 09:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 10:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 11:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 12:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 13:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 14:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 15:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 16:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 17:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 18:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 19:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 20:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 21:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 22:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
06.01.2018 23:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 00:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 01:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 02:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 03:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 04:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 05:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 06:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 07:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 08:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 09:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 10:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 11:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 12:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 13:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 14:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 15:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 16:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 17:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 18:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 19:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 20:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 21:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 22:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 23:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
08.01.2018 00:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
08.01.2018 01:30:00.000 GMT+0430,1.20304,1.20304,1.20304,1.20304,0
08.01.2018 02:30:00.000 GMT+0430,1.20265,1.20357,1.20259,1.20314,2284.3
08.01.2018 03:30:00.000 GMT+0430,1.20313,1.20389,1.20313,1.20370,3469.76
08.01.2018 04:30:00.000 GMT+0430,1.20371,1.20449,1.20330,1.20427,3850.6599
08.01.2018 05:30:00.000 GMT+0430,1.20425,1.20521,1.20415,1.20444,5604.4102
08.01.2018 06:30:00.000 GMT+0430,1.20444,1.20465,1.20309,1.20358,5842.2998
08.01.2018 07:30:00.000 GMT+0430,1.20359,1.20359,1.20271,1.20323,4091.55
08.01.2018 08:30:00.000 GMT+0430,1.20325,1.20330,1.20229,1.20253,5350.3398
08.01.2018 09:30:00.000 GMT+0430,1.20253,1.20286,1.20120,1.20196,5205.7798
08.01.2018 10:30:00.000 GMT+0430,1.20196,1.20227,1.20125,1.20141,5491.0498
08.01.2018 11:30:00.000 GMT+0430,1.20140,1.20143,1.19928,1.19930,9888.9805
08.01.2018 12:30:00.000 GMT+0430,1.19930,1.20007,1.19834,1.19906,11402.2305
08.01.2018 13:30:00.000 GMT+0430,1.19908,1.19937,1.19871,1.19896,8885.1396
08.01.2018 14:30:00.000 GMT+0430,1.19897,1.20092,1.19894,1.20037,9178.6699
08.01.2018 15:30:00.000 GMT+0430,1.20037,1.20064,1.19845,1.19860,9784.4199
08.01.2018 16:30:00.000 GMT+0430,1.19860,1.19907,1.19710,1.19714,11027.5898
08.01.2018 17:30:00.000 GMT+0430,1.19716,1.19786,1.19685,1.19701,12338.1904
08.01.2018 18:30:00.000 GMT+0430,1.19701,1.19791,1.19665,1.19671,11458.21
08.01.2018 19:30:00.000 GMT+0430,1.19669,1.19773,1.19590,1.19751,12571.0996
08.01.2018 20:30:00.000 GMT+0430,1.19753,1.19820,1.19700,1.19725,12049.8096
08.01.2018 21:30:00.000 GMT+0430,1.19723,1.19787,1.19686,1.19772,9592.4902
08.01.2018 22:30:00.000 GMT+0430,1.19773,1.19773,1.19568,1.19621,8913.4297
08.01.2018 23:30:00.000 GMT+0430,1.19621,1.19655,1.19560,1.19627,7152.7202
09.01.2018 00:30:00.000 GMT+0430,1.19625,1.19669,1.19611,1.19669,5145.98
09.01.2018 01:30:00.000 GMT+0430,1.19668,1.19683,1.19636,1.19666,3237.6101
09.01.2018 02:30:00.000 GMT+0430,1.19666,1.19699,1.19659,1.19678,2638.8999
09.01.2018 03:30:00.000 GMT+0430,1.19678,1.19706,1.19662,1.19698,2680.48
09.01.2018 04:30:00.000 GMT+0430,1.19698,1.19733,1.19650,1.19713,4303.9399
09.01.2018 05:30:00.000 GMT+0430,1.19712,1.19716,1.19581,1.19669,7372.21
09.01.2018 06:30:00.000 GMT+0430,1.19669,1.19755,1.19669,1.19726,8062.8701
09.01.2018 07:30:00.000 GMT+0430,1.19726,1.19751,1.19675,1.19715,5240.2202
09.01.2018 08:30:00.000 GMT+0430,1.19715,1.19723,1.19659,1.19680,4308.2598
09.01.2018 09:30:00.000 GMT+0430,1.19679,1.19717,1.19641,1.19650,5249.5098
09.01.2018 10:30:00.000 GMT+0430,1.19649,1.19650,1.19516,1.19559,7691.8901
09.01.2018 11:30:00.000 GMT+0430,1.19558,1.19707,1.19509,1.19510,12834.6201
09.01.2018 12:30:00.000 GMT+0430,1.19510,1.19526,1.19323,1.19394,13395.7695
09.01.2018 13:30:00.000 GMT+0430,1.19393,1.19463,1.19321,1.19386,11868.5195
09.01.2018 14:30:00.000 GMT+0430,1.19387,1.19396,1.19251,1.19278,11643.3096
